S. No.,Name of District,Recharge from rainfall (Monsoon),Recharge from other sources (Monsoon),Recharge from rainfall (Non-monsoon),Recharge from other sources (Non-monsoon),Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Irrigation,Industrial,Domestic,Total,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
16,Basti,6277.19,14236.43,3026.84,3511.93,27052.39,1551.44,25500.95,9979.74,323.03,959.63,11262.4,997.19,14284.67,75.43
17,Bijnor,9419.36,18539.34,3981.21,12442.21,44382.12,6582.07,37799.85,15592.88,1449.62,8020.9,25063.39,8345.52,13986.79,72.08
18,Budaun,5041.11,4633.99,1868.13,10842.7,22385.93,1526.93,20659,5522.18,164,892.83,6578.01,1924.17,14098.89,92.86
19,Bulandshahar,14436.1,13233.38,1561.61,7846.21,37077.3,7751.29,29326.01,10690.95,330.19,1281.4,12202.36,1352.57,18635.07,92.28
20,Chandauli,3039.61,4856.16,270.82,1682.2,9850.79,1448.18,8402.61,3705.27,0.44,261.54,3967.25,293,8203.13,63.36
21,Chitrakoot,3191.6,4935.85,359.68,2053.66,10540.8,596.61,9944.19,4446.68,130.38,699.3,5276.4,196.31,5497.51,52.71
22,Deoria,5078.55,8701.36,955.18,2749.67,17484.76,3036.77,14447.99,5108.36,117.42,835.22,6050.99,892.62,9339.63,61.77
23,Etah,3012.85,4055,419.08,1662.68,9149.61,1164.4,7985.21,3085.93,72.02,829.09,3987.04,962.94,4924.07,65.76
24,Etawah,3725.28,11016.42,915.95,2517.05,18174.7,2558.73,15615.97,4968.25,161.67,2207.42,7337.34,1523.02,10647.72,79.6
25,Farrukhabad,3318.04,4210.15,632.37,1217.09,9377.65,1133.25,8244.4,2379.93,162.34,4072.82,6615.09,244.37,3732.09,80.22
26,Fatehpur,8043.35,12225.16,1927.89,3566.5,25662.9,1471.55,24191.35,9237.75,163.65,3077.93,12479.34,5210.62,14953.6,74
27,Firozabad,3086.47,4633.64,428.86,2312.17,10461.14,1719.9,8741.24,3307.08,233.5,815.93,4356.51,762.43,3908.77,105.62
28,GB Nagar,1356.83,10440.47,157.2,2681.7,14636.63,1021.48,13615.15,2608.5,0,781.33,4781.71,1062.31,10836.18,107.65
